profile_name,year,period,timestep,value
NL_Wind_Offshore,2030,1,287,0.567551922
NL_Wind_Offshore,2030,1,288,0.500091806
NL_Wind_Offshore,2030,1,289,0.579873485
NL_Wind_Offshore,2030,1,290,0.737129351
NL_Wind_Offshore,2030,1,291,0.753373518
NL_Wind_Offshore,2030,1,292,0.612052537
NL_Wind_Offshore,2030,1,293,0.645754935
NL_Wind_Offshore,2030,1,294,0.735751224
NL_Wind_Offshore,2030,1,295,0.883617897
NL_Wind_Offshore,2030,1,296,0.744405049
NL_Wind_Offshore,2030,1,297,0.804534635
NL_Wind_Offshore,2030,1,298,0.945162875
NL_Wind_Offshore,2030,1,299,0.951501666
NL_Wind_Offshore,2030,1,300,0.917556817
NL_Wind_Offshore,2030,1,301,0.828299079
NL_Wind_Offshore,2030,1,302,0.755771653
NL_Wind_Offshore,2030,1,303,0.778508625
NL_Wind_Offshore,2030,1,304,0.777479121
NL_Wind_Offshore,2030,1,305,0.763109603
NL_Wind_Offshore,2030,1,306,0.683794904
NL_Wind_Offshore,2030,1,307,0.721941939
NL_Wind_Offshore,2030,1,308,0.662689536
NL_Wind_Offshore,2030,1,309,0.824342158
NL_Wind_Offshore,2030,1,310,0.853896347
NL_Wind_Offshore,2030,1,311,0.881666097
NL_Wind_Offshore,2030,1,312,0.908957313
NL_Wind_Offshore,2030,1,313,0.938804589
NL_Wind_Offshore,2030,1,314,0.95742753
NL_Wind_Offshore,2030,1,315,0.967467698
NL_Wind_Offshore,2030,1,316,0.970109201
NL_Wind_Offshore,2030,1,317,0.974423993
NL_Wind_Offshore,2030,1,318,0.978560527
NL_Wind_Offshore,2030,1,319,0.978812202
NL_Wind_Offshore,2030,1,320,0.970928617
NL_Wind_Offshore,2030,1,321,0.973572631
NL_Wind_Offshore,2030,1,322,0.947746474
NL_Wind_Offshore,2030,1,323,0.906395753
NL_Wind_Offshore,2030,1,324,0.930963659
NL_Wind_Offshore,2030,1,325,0.940885827
NL_Wind_Offshore,2030,1,326,0.909294708
NL_Wind_Offshore,2030,1,327,0.973764746
NL_Wind_Offshore,2030,1,328,0.955231333
NL_Wind_Offshore,2030,1,329,0.956459679
NL_Wind_Offshore,2030,1,330,0.964270208
NL_Wind_Offshore,2030,1,331,0.971887402
NL_Wind_Offshore,2030,1,332,0.977170592
NL_Wind_Offshore,2030,1,333,0.978989904
NL_Wind_Offshore,2030,1,334,0.979197915
NL_Wind_Offshore,2030,1,335,0.979183441
NL_Wind_Offshore,2030,1,336,0.979199621
NL_Wind_Offshore,2030,1,337,0.9792
NL_Wind_Offshore,2030,1,338,0.895269446
NL_Wind_Offshore,2030,1,339,0.667884766
NL_Wind_Offshore,2030,1,340,0.371473904
NL_Wind_Offshore,2030,1,341,0.292950206
NL_Wind_Offshore,2030,1,342,0.283217086
NL_Wind_Offshore,2030,1,343,0.322535023
NL_Wind_Offshore,2030,1,344,0.941700626
NL_Wind_Offshore,2030,1,345,0.884778157
NL_Wind_Offshore,2030,1,346,0.979191049
NL_Wind_Offshore,2030,1,347,0.979173941
NL_Wind_Offshore,2030,1,348,0.97893017
NL_Wind_Offshore,2030,1,349,0.978138823
NL_Wind_Offshore,2030,1,350,0.979186407
NL_Wind_Offshore,2030,1,351,0.979124401
NL_Wind_Offshore,2030,1,352,0.979191182
NL_Wind_Offshore,2030,1,353,0.979198548
NL_Wind_Offshore,2030,1,354,0.979199961
NL_Wind_Offshore,2030,1,355,0.97919958
NL_Wind_Offshore,2030,1,356,0.959390952
NL_Wind_Offshore,2030,1,357,0.933991986
NL_Wind_Offshore,2030,1,358,0.629663748
NL_Wind_Offshore,2030,1,359,0.862401543
NL_Wind_Offshore,2030,1,360,0.730793395
NL_Wind_Offshore,2030,1,361,0.66945657
NL_Wind_Offshore,2030,1,362,0.774539173
NL_Wind_Offshore,2030,1,363,0.9672225
NL_Wind_Offshore,2030,1,364,0.9792
NL_Wind_Offshore,2030,1,365,0.979199806
NL_Wind_Offshore,2030,1,366,0.979196148
NL_Wind_Offshore,2030,1,367,0.978994666
NL_Wind_Offshore,2030,1,368,0.976203135
NL_Wind_Offshore,2030,1,369,0.977597006
NL_Wind_Offshore,2030,1,370,0.971817936
NL_Wind_Offshore,2030,1,371,0.968271432
NL_Wind_Offshore,2030,1,372,0.93278438
NL_Wind_Offshore,2030,1,373,0.886947852
NL_Wind_Offshore,2030,1,374,0.814085194
NL_Wind_Offshore,2030,1,375,0.697883695
NL_Wind_Offshore,2030,1,376,0.619311146
NL_Wind_Offshore,2030,1,377,0.587007536
NL_Wind_Offshore,2030,1,378,0.583148812
NL_Wind_Offshore,2030,1,379,0.632069426
NL_Wind_Offshore,2030,1,380,0.633050437
NL_Wind_Offshore,2030,1,381,0.745271937
NL_Wind_Offshore,2030,1,382,0.805541171
NL_Wind_Offshore,2030,1,383,0.826945896
NL_Wind_Offshore,2030,1,384,0.798019069
NL_Wind_Offshore,2030,1,385,0.767953838
NL_Wind_Offshore,2030,1,386,0.76593231
NL_Wind_Offshore,2030,1,387,0.817468771
NL_Wind_Offshore,2030,1,388,0.799828872
NL_Wind_Offshore,2030,1,389,0.858939287
NL_Wind_Offshore,2030,1,390,0.84265199
NL_Wind_Offshore,2030,1,391,0.86013313
NL_Wind_Offshore,2030,1,392,0.891580456
NL_Wind_Offshore,2030,1,393,0.914445725
NL_Wind_Offshore,2030,1,394,0.916474028
NL_Wind_Offshore,2030,1,395,0.921071701
NL_Wind_Offshore,2030,1,396,0.94131275
NL_Wind_Offshore,2030,1,397,0.956918389
NL_Wind_Offshore,2030,1,398,0.964639756
NL_Wind_Offshore,2030,1,399,0.970047627
NL_Wind_Offshore,2030,1,400,0.961939977
NL_Wind_Offshore,2030,1,401,0.964500732
NL_Wind_Offshore,2030,1,402,0.961038896
NL_Wind_Offshore,2030,1,403,0.952087353
NL_Wind_Offshore,2030,1,404,0.894962569
NL_Wind_Offshore,2030,1,405,0.732479028
NL_Wind_Offshore,2030,1,406,0.745564387
NL_Wind_Offshore,2030,1,407,0.658608298
NL_Wind_Offshore,2030,1,408,0.733191642
NL_Wind_Offshore,2030,1,409,0.573279491
NL_Wind_Offshore,2030,1,410,0.583579635
NL_Wind_Offshore,2030,1,411,0.407581448
NL_Wind_Offshore,2030,1,412,0.459724407
NL_Wind_Offshore,2030,1,413,0.485736247
NL_Wind_Offshore,2030,1,414,0.353727347
NL_Wind_Offshore,2030,1,415,0.20887328
NL_Wind_Offshore,2030,1,416,0.216932129
NL_Wind_Offshore,2030,1,417,0.131302618
NL_Wind_Offshore,2030,1,418,0.097448314
NL_Wind_Offshore,2030,1,419,0.077830749
NL_Wind_Offshore,2030,1,420,0.065456689
NL_Wind_Offshore,2030,1,421,0.087886384
NL_Wind_Offshore,2030,1,422,0.032489571
NL_Wind_Offshore,2030,1,423,0.045800547
NL_Wind_Offshore,2030,1,424,0.066042436
NL_Wind_Offshore,2030,1,425,0.037609001
NL_Wind_Offshore,2030,1,426,0.041421513
NL_Wind_Offshore,2030,1,427,0.03789876
NL_Wind_Offshore,2030,1,428,0.040760272
NL_Wind_Offshore,2030,1,429,0.024639017
NL_Wind_Offshore,2030,1,430,0.030803115
NL_Wind_Offshore,2030,1,431,0.02729831
NL_Wind_Offshore,2030,1,432,0.032129354
NL_Wind_Offshore,2030,1,433,0.027873873
NL_Wind_Offshore,2030,1,434,0.022287335
NL_Wind_Offshore,2030,1,435,0.028234316
NL_Wind_Offshore,2030,1,436,0.038087035
NL_Wind_Offshore,2030,1,437,0.025866664
NL_Wind_Offshore,2030,1,438,0.020141947
NL_Wind_Offshore,2030,1,439,0.022756408
NL_Wind_Offshore,2030,1,440,0.017838318
NL_Wind_Offshore,2030,1,441,0.023633466
NL_Wind_Offshore,2030,1,442,0.020679009
NL_Wind_Offshore,2030,1,443,0.021823647
NL_Wind_Offshore,2030,1,444,0.020694015
NL_Wind_Offshore,2030,1,445,0.025992446
NL_Wind_Offshore,2030,1,446,0.012401031
NL_Wind_Offshore,2030,1,447,0.009795948
NL_Wind_Offshore,2030,1,448,0.012018349
NL_Wind_Offshore,2030,1,449,0.004147723
NL_Wind_Offshore,2030,1,450,0.010492177
NL_Wind_Offshore,2030,1,451,0.014157524
NL_Wind_Offshore,2030,1,452,0.006738947
NL_Wind_Offshore,2030,1,453,0.006643334
